t              BoxCavity.fdtd_Point probe001_Ez_40_30_24.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406665743525338E-011   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.46219997230576015E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.77033328717626692E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.10784666020467737E-010   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.13865999169172805E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.16947332317877872E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.20028665466582940E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.23109998615288008E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.26191331763993075E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.29272664912698143E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.32353998061403211E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.35435331210108278E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.38516664358813346E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.41597997507518414E-010  -0.116757069E-025
   0.43138664081870948E-010  -0.181933807E-024
   0.44679330656223482E-010  -0.177743339E-023
   0.46219997230576015E-010  -0.138748406E-022
   0.47760663804928549E-010  -0.904435339E-022
   0.49301330379281083E-010  -0.512408653E-021
   0.50841996953633617E-010  -0.261938111E-020
   0.52382663527986151E-010  -0.122776633E-019
   0.53923330102338685E-010  -0.529055188E-019
   0.55463996676691218E-010  -0.209955784E-018
   0.57004663251043752E-010  -0.770452153E-018
   0.58545329825396286E-010  -0.262693103E-017
   0.60085996399748820E-010  -0.836179097E-017
   0.61626662974101354E-010  -0.249592585E-016
   0.63167329548453888E-010  -0.701314031E-016
   0.64707996122806422E-010  -0.186063598E-015
   0.66248662697158955E-010  -0.467230044E-015
   0.67789329271511489E-010  -0.111283962E-014
   0.69329995845864023E-010  -0.251876174E-014
   0.70870662420216557E-010  -0.542630567E-014
   0.72411328994569091E-010  -0.111420484E-013
   0.73951995568921625E-010  -0.218283609E-013
   0.75492662143274158E-010  -0.408315112E-013
   0.77033328717626692E-010  -0.729593252E-013
   0.78573995291979226E-010  -0.124549486E-012
   0.80114661866331760E-010  -0.203100422E-012
   0.81655328440684294E-010  -0.316195692E-012
   0.83195995015036828E-010  -0.469489844E-012
   0.84736661589389362E-010  -0.663712032E-012
   0.86277328163741895E-010  -0.891024450E-012
   0.87817994738094429E-010  -0.113156750E-011
   0.89358661312446963E-010  -0.135149520E-011
   0.90899327886799497E-010  -0.150408668E-011
   0.92439994461152031E-010  -0.153535019E-011
   0.93980661035504565E-010  -0.139463712E-011
   0.95521327609857098E-010  -0.104932068E-011
   0.97061994184209632E-010  -0.500884599E-012
   0.98602660758562166E-010   0.202268757E-012
   0.10014332733291470E-009   0.961666077E-012
   0.10168399390726723E-009   0.164034931E-011
   0.10322466048161977E-009   0.208896984E-011
   0.10476532705597230E-009   0.218094553E-011
   0.10630599363032484E-009   0.184934490E-011
   0.10784666020467737E-009   0.111614071E-011
   0.10938732677902990E-009   0.101691008E-012
   0.11092799335338244E-009  -0.993714117E-012
   0.11246865992773497E-009  -0.193476940E-011
   0.11400932650208750E-009  -0.251584626E-011
   0.11554999307644004E-009  -0.262916902E-011
   0.11709065965079257E-009  -0.229850730E-011
   0.11863132622514511E-009  -0.164941596E-011
   0.12017199279949764E-009  -0.850924637E-012
   0.12171265937385017E-009  -0.884905213E-013
   0.12325332594820271E-009   0.452356956E-012
   0.12479399252255524E-009   0.653846823E-012
   0.12633465909690778E-009   0.540069617E-012
   0.12787532567126031E-009   0.254093079E-012
   0.12941599224561284E-009  -0.391245738E-013
   0.13095665881996538E-009  -0.239779117E-012
   0.13249732539431791E-009  -0.388807801E-012
   0.13403799196867044E-009  -0.653068094E-012
   0.13557865854302298E-009  -0.107636274E-011
   0.13711932511737551E-009  -0.137544056E-011
   0.13865999169172805E-009  -0.128600060E-011
   0.14020065826608058E-009  -0.107831712E-011
   0.14174132484043311E-009  -0.124069830E-011
   0.14328199141478565E-009  -0.163844481E-011
   0.14482265798913818E-009  -0.161826173E-011
   0.14636332456349072E-009  -0.993939306E-012
   0.14790399113784325E-009  -0.281186099E-012
   0.14944465771219578E-009  -0.476177257E-013
   0.15098532428654832E-009  -0.587957634E-012
   0.15252599086090085E-009  -0.166884540E-011
   0.15406665743525338E-009  -0.207417980E-011
   0.15560732400960592E-009  -0.807915692E-012
   0.15714799058395845E-009   0.603389842E-012
   0.15868865715831099E-009  -0.510479246E-012
   0.16022932373266352E-009  -0.331348599E-011
   0.16176999030701605E-009  -0.379733658E-011
   0.16331065688136859E-009  -0.115680100E-011
   0.16485132345572112E-009   0.662449913E-012
   0.16639199003007366E-009  -0.679683415E-012
   0.16793265660442619E-009  -0.303635199E-011
   0.16947332317877872E-009  -0.410437743E-011
   0.17101398975313126E-009  -0.325556531E-011
   0.17255465632748379E-009  -0.331451446E-013
   0.17409532290183632E-009   0.322544378E-011
   0.17563598947618886E-009   0.127687704E-011
   0.17717665605054139E-009  -0.440607056E-011
   0.17871732262489393E-009  -0.362128513E-011
   0.18025798919924646E-009   0.614304831E-011
   0.18179865577359899E-009   0.126316709E-010
   0.18333932234795153E-009   0.852702284E-011
   0.18487998892230406E-009   0.367880249E-011
   0.18642065549665660E-009   0.658737301E-011
   0.18796132207100913E-009   0.106462183E-010
   0.18950198864536166E-009   0.875876802E-011
   0.19104265521971420E-009   0.281584001E-011
   0.19258332179406673E-009  -0.750279179E-011
   0.19412398836841926E-009  -0.240271796E-010
   0.19566465494277180E-009  -0.373838668E-010
   0.19720532151712433E-009  -0.386240588E-010
   0.19874598809147687E-009  -0.376603575E-010
   0.20028665466582940E-009  -0.442756005E-010
   0.20182732124018193E-009  -0.441103334E-010
   0.20336798781453447E-009  -0.220533921E-010
   0.20490865438888700E-009   0.895697579E-011
   0.20644932096323954E-009   0.302635486E-010
   0.20798998753759207E-009   0.449645460E-010
   0.20953065411194460E-009   0.582103601E-010
   0.21107132068629714E-009   0.583965584E-010
   0.21261198726064967E-009   0.397269335E-010
   0.21415265383500220E-009   0.148972553E-010
   0.21569332040935474E-009  -0.831871724E-011
   0.21723398698370727E-009  -0.337652788E-010
   0.21877465355805981E-009  -0.556912433E-010
   0.22031532013241234E-009  -0.609121711E-010
   0.22185598670676487E-009  -0.507035872E-010
   0.22339665328111741E-009  -0.353472564E-010
   0.22493731985546994E-009  -0.165355767E-010
   0.22647798642982248E-009   0.438889376E-011
   0.22801865300417501E-009   0.169226386E-010
   0.22955931957852754E-009   0.164542494E-010
   0.23109998615288008E-009   0.118229107E-010
   0.23264065272723261E-009   0.964949388E-011
   0.23418131930158514E-009   0.795916371E-011
   0.23572198587593768E-009   0.576144991E-011
   0.23726265245029021E-009   0.394344496E-011
   0.23880331902464275E-009   0.133603393E-011
   0.24034398559899528E-009  -0.129004381E-011
   0.24188465217334781E-009  -0.281570210E-011
   0.24342531874770035E-009  -0.839512487E-011
   0.24496598532205288E-009  -0.212701905E-010
   0.24650665189640542E-009  -0.338245855E-010
   0.24804731847075795E-009  -0.403088014E-010
   0.24958798504511048E-009  -0.460227030E-010
   0.25112865161946302E-009  -0.524539544E-010
   0.25266931819381555E-009  -0.510506533E-010
   0.25420998476816808E-009  -0.397660065E-010
   0.25575065134252062E-009  -0.260114118E-010
   0.25729131791687315E-009  -0.106680168E-010
   0.25883198449122569E-009   0.108353083E-010
   0.26037265106557822E-009   0.337117972E-010
   0.26191331763993075E-009   0.468289088E-010
   0.26345398421428329E-009   0.446036541E-010
   0.26499465078863582E-009   0.262837582E-010
   0.26653531736298836E-009  -0.549973435E-011
   0.26807598393734089E-009  -0.404252465E-010
   0.26961665051169342E-009  -0.660273017E-010
   0.27115731708604596E-009  -0.772682335E-010
   0.27269798366039849E-009  -0.737631622E-010
   0.27423865023475102E-009  -0.568150214E-010
   0.27577931680910356E-009  -0.349908089E-010
   0.27731998338345609E-009  -0.198351786E-010
   0.27886064995780863E-009  -0.129339924E-010
   0.28040131653216116E-009  -0.822990981E-011
   0.28194198310651369E-009  -0.305219175E-011
   0.28348264968086623E-009   0.312517763E-011
   0.28502331625521876E-009   0.111371468E-010
   0.28656398282957130E-009   0.152630061E-010
   0.28810464940392383E-009   0.568510950E-011
   0.28964531597827636E-009  -0.183963296E-010
   0.29118598255262890E-009  -0.486846466E-010
   0.29272664912698143E-009  -0.771278874E-010
   0.29426731570133396E-009  -0.951596510E-010
   0.29580798227568650E-009  -0.932297434E-010
   0.29734864885003903E-009  -0.717842730E-010
   0.29888931542439157E-009  -0.442465786E-010
   0.30042998199874410E-009  -0.242959559E-010
   0.30197064857309663E-009  -0.176284733E-010
   0.30351131514744917E-009  -0.231954768E-010
   0.30505198172180170E-009  -0.337593356E-010
   0.30659264829615424E-009  -0.406063620E-010
   0.30813331487050677E-009  -0.430504243E-010
   0.30967398144485930E-009  -0.467369823E-010
   0.31121464801921184E-009  -0.535559617E-010
   0.31275531459356437E-009  -0.616936918E-010
   0.31429598116791690E-009  -0.702655364E-010
   0.31583664774226944E-009  -0.758375446E-010
   0.31737731431662197E-009  -0.724025215E-010
   0.31891798089097451E-009  -0.602465022E-010
   0.32045864746532704E-009  -0.463273794E-010
   0.32199931403967957E-009  -0.354917658E-010
   0.32353998061403211E-009  -0.302297735E-010
   0.32508064718838464E-009  -0.354528386E-010
   0.32662131376273718E-009  -0.547668022E-010
   0.32816198033708971E-009  -0.850601534E-010
   0.32970264691144224E-009  -0.117343676E-009
   0.33124331348579478E-009  -0.138898198E-009
   0.33278398006014731E-009  -0.138915365E-009
   0.33432464663449984E-009  -0.119107557E-009
   0.33586531320885238E-009  -0.938931016E-010
   0.33740597978320491E-009  -0.768513031E-010
   0.33894664635755745E-009  -0.732008551E-010
   0.34048731293190998E-009  -0.819748228E-010
   0.34202797950626251E-009  -0.949753470E-010
   0.34356864608061505E-009  -0.994605509E-010
   0.34510931265496758E-009  -0.925333629E-010
   0.34664997922932012E-009  -0.862385302E-010
   0.34819064580367265E-009  -0.923013055E-010
   0.34973131237802518E-009  -0.110625432E-009
   0.35127197895237772E-009  -0.134314337E-009
   0.35281264552673025E-009  -0.155569113E-009
   0.35435331210108278E-009  -0.167894212E-009
   0.35589397867543532E-009  -0.171443817E-009
   0.35743464524978785E-009  -0.172906994E-009
   0.35897531182414039E-009  -0.175562967E-009
   0.36051597839849292E-009  -0.175916309E-009
   0.36205664497284545E-009  -0.171778022E-009
   0.36359731154719799E-009  -0.165985253E-009
   0.36513797812155052E-009  -0.161581498E-009
   0.36667864469590306E-009  -0.158619687E-009
   0.36821931127025559E-009  -0.155850013E-009
   0.36975997784460812E-009  -0.155299329E-009
   0.37130064441896066E-009  -0.164920383E-009
   0.37284131099331319E-009  -0.189674013E-009
   0.37438197756766572E-009  -0.218855378E-009
