t              Noda2002.fdtd_Point probe_Ex_12_12_2.dat
   0.94079999624074873E-008   0.000000000E+000
   0.95039999620238902E-008   0.000000000E+000
   0.95999999616402931E-008   0.000000000E+000
   0.96959999612566961E-008   0.000000000E+000
   0.97919999608730990E-008   0.000000000E+000
   0.98879999604895019E-008   0.000000000E+000
   0.99839999601059048E-008   0.000000000E+000
   0.10079999959722308E-007   0.000000000E+000
   0.10175999959338711E-007   0.000000000E+000
   0.10271999958955114E-007   0.000000000E+000
   0.10367999958571517E-007   0.000000000E+000
   0.10463999958187920E-007   0.000000000E+000
   0.10559999957804322E-007   0.000000000E+000
   0.10655999957420725E-007   0.000000000E+000
   0.10751999957037128E-007   0.000000000E+000
   0.10847999956653531E-007   0.000000000E+000
   0.10943999956269934E-007   0.000000000E+000
   0.11039999955886337E-007   0.000000000E+000
   0.11135999955502740E-007   0.000000000E+000
   0.11231999955119143E-007   0.000000000E+000
   0.11327999954735546E-007   0.000000000E+000
   0.11423999954351949E-007   0.000000000E+000
   0.11519999953968352E-007   0.000000000E+000
   0.11615999953584755E-007   0.000000000E+000
   0.11711999953201158E-007   0.000000000E+000
   0.11807999952817561E-007   0.000000000E+000
   0.11903999952433963E-007   0.000000000E+000
   0.11999999952050366E-007   0.000000000E+000
   0.12095999951666769E-007   0.000000000E+000
   0.12191999951283172E-007   0.000000000E+000
   0.12287999950899575E-007   0.000000000E+000
   0.12383999950515978E-007   0.000000000E+000
   0.12479999950132381E-007   0.000000000E+000
   0.12575999949748784E-007   0.000000000E+000
   0.12671999949365187E-007   0.000000000E+000
   0.12767999948981590E-007   0.000000000E+000
   0.12863999948597993E-007   0.000000000E+000
   0.12959999948214396E-007   0.000000000E+000
   0.13055999947830799E-007   0.000000000E+000
   0.13151999947447202E-007   0.000000000E+000
   0.13247999947063605E-007   0.000000000E+000
   0.13343999946680007E-007   0.000000000E+000
   0.13439999946296410E-007   0.000000000E+000
   0.13535999945912813E-007   0.000000000E+000
   0.13631999945529216E-007   0.000000000E+000
   0.13727999945145619E-007   0.000000000E+000
   0.13823999944762022E-007   0.000000000E+000
   0.13919999944378425E-007   0.000000000E+000
   0.14015999943994828E-007   0.000000000E+000
   0.14111999943611231E-007   0.000000000E+000
   0.14207999943227634E-007   0.000000000E+000
   0.14303999942844037E-007   0.000000000E+000
   0.14399999942460440E-007   0.000000000E+000
   0.14495999942076843E-007   0.000000000E+000
   0.14591999941693246E-007   0.000000000E+000
   0.14687999941309648E-007   0.000000000E+000
   0.14783999940926051E-007   0.000000000E+000
   0.14879999940542454E-007   0.000000000E+000
   0.14975999940158857E-007   0.000000000E+000
   0.15071999939775260E-007   0.000000000E+000
   0.15167999939391663E-007   0.000000000E+000
   0.15263999939008066E-007   0.000000000E+000
   0.15359999938624469E-007   0.000000000E+000
   0.15455999938240872E-007   0.000000000E+000
   0.15551999937857275E-007   0.000000000E+000
   0.15647999937473678E-007   0.000000000E+000
   0.15743999937090081E-007   0.000000000E+000
   0.15839999936706484E-007   0.000000000E+000
   0.15935999936322887E-007   0.000000000E+000
   0.16031999935939290E-007   0.000000000E+000
   0.16127999935555692E-007   0.000000000E+000
   0.16223999935172095E-007   0.000000000E+000
   0.16319999934788498E-007   0.000000000E+000
   0.16415999934404901E-007   0.000000000E+000
   0.16511999934021304E-007   0.000000000E+000
   0.16607999933637707E-007   0.000000000E+000
   0.16703999933254110E-007   0.000000000E+000
   0.16799999932870513E-007   0.000000000E+000
   0.16895999932486916E-007   0.000000000E+000
   0.16991999932103319E-007   0.000000000E+000
   0.17087999931719722E-007   0.000000000E+000
   0.17183999931336125E-007   0.000000000E+000
   0.17279999930952528E-007   0.000000000E+000
   0.17375999930568931E-007   0.000000000E+000
   0.17471999930185333E-007   0.000000000E+000
   0.17567999929801736E-007   0.000000000E+000
   0.17663999929418139E-007   0.000000000E+000
   0.17759999929034542E-007   0.000000000E+000
   0.17855999928650945E-007   0.000000000E+000
   0.17951999928267348E-007   0.000000000E+000
   0.18047999927883751E-007   0.000000000E+000
   0.18143999927500154E-007   0.000000000E+000
   0.18239999927116557E-007   0.000000000E+000
   0.18335999926732960E-007   0.000000000E+000
   0.18431999926349363E-007   0.000000000E+000
   0.18527999925965766E-007   0.000000000E+000
   0.18623999925582169E-007   0.000000000E+000
   0.18719999925198572E-007   0.000000000E+000
   0.18815999924814975E-007   0.000000000E+000
   0.18911999924431377E-007   0.000000000E+000
   0.19007999924047780E-007   0.000000000E+000
   0.19103999923664183E-007   0.000000000E+000
   0.19199999923280586E-007   0.000000000E+000
   0.19295999922896989E-007   0.000000000E+000
   0.19391999922513392E-007   0.000000000E+000
   0.19487999922129795E-007   0.000000000E+000
   0.19583999921746198E-007   0.000000000E+000
   0.19679999921362601E-007   0.000000000E+000
   0.19775999920979004E-007   0.000000000E+000
   0.19871999920595407E-007   0.000000000E+000
   0.19967999920211810E-007   0.000000000E+000
   0.20063999919828213E-007   0.000000000E+000
   0.20159999919444616E-007   0.000000000E+000
   0.20255999919061018E-007   0.000000000E+000
   0.20351999918677421E-007   0.000000000E+000
   0.20447999918293824E-007   0.000000000E+000
   0.20543999917910227E-007   0.000000000E+000
   0.20639999917526630E-007   0.000000000E+000
   0.20735999917143033E-007   0.000000000E+000
   0.20831999916759436E-007   0.000000000E+000
   0.20927999916375839E-007   0.000000000E+000
   0.21023999915992242E-007   0.000000000E+000
   0.21119999915608645E-007   0.000000000E+000
   0.21215999915225048E-007   0.000000000E+000
   0.21311999914841451E-007   0.000000000E+000
   0.21407999914457854E-007   0.000000000E+000
   0.21503999914074257E-007   0.000000000E+000
   0.21599999913690660E-007   0.000000000E+000
   0.21695999913307062E-007   0.000000000E+000
   0.21791999912923465E-007   0.000000000E+000
   0.21887999912539868E-007   0.000000000E+000
   0.21983999912156271E-007   0.000000000E+000
   0.22079999911772674E-007   0.000000000E+000
   0.22175999911389077E-007   0.000000000E+000
   0.22271999911005480E-007   0.000000000E+000
   0.22367999910621883E-007   0.000000000E+000
   0.22463999910238286E-007   0.000000000E+000
   0.22559999909854689E-007   0.000000000E+000
   0.22655999909471092E-007   0.000000000E+000
   0.22751999909087495E-007   0.000000000E+000
   0.22847999908703898E-007   0.000000000E+000
   0.22943999908320301E-007   0.000000000E+000
   0.23039999907936703E-007   0.000000000E+000
   0.23135999907553106E-007   0.000000000E+000
   0.23231999907169509E-007   0.000000000E+000
   0.23327999906785912E-007   0.000000000E+000
   0.23423999906402315E-007   0.000000000E+000
   0.23519999906018718E-007   0.000000000E+000
   0.23615999905635121E-007   0.000000000E+000
   0.23711999905251524E-007   0.000000000E+000
   0.23807999904867927E-007   0.000000000E+000
   0.23903999904484330E-007   0.000000000E+000
   0.23999999904100733E-007   0.000000000E+000
   0.24095999903717136E-007   0.000000000E+000
   0.24191999903333539E-007   0.000000000E+000
   0.24287999902949942E-007   0.000000000E+000
   0.24383999902566345E-007   0.000000000E+000
   0.24479999902182747E-007   0.000000000E+000
   0.24575999901799150E-007   0.000000000E+000
   0.24671999901415553E-007   0.000000000E+000
   0.24767999901031956E-007   0.000000000E+000
   0.24863999900648359E-007   0.000000000E+000
   0.24959999900264762E-007   0.000000000E+000
   0.25055999899881165E-007   0.000000000E+000
   0.25151999899497568E-007   0.000000000E+000
   0.25247999899113971E-007   0.000000000E+000
   0.25343999898730374E-007   0.000000000E+000
   0.25439999898346777E-007   0.000000000E+000
   0.25535999897963180E-007   0.000000000E+000
   0.25631999897579583E-007   0.000000000E+000
   0.25727999897195986E-007   0.000000000E+000
   0.25823999896812388E-007   0.000000000E+000
   0.25919999896428791E-007   0.000000000E+000
   0.26015999896045194E-007   0.000000000E+000
   0.26111999895661597E-007   0.000000000E+000
   0.26207999895278000E-007   0.000000000E+000
   0.26303999894894403E-007   0.000000000E+000
   0.26399999894510806E-007   0.000000000E+000
   0.26495999894127209E-007   0.000000000E+000
   0.26591999893743612E-007   0.000000000E+000
   0.26687999893360015E-007   0.000000000E+000
   0.26783999892976418E-007   0.000000000E+000
   0.26879999892592821E-007   0.000000000E+000
   0.26975999892209224E-007   0.000000000E+000
   0.27071999891825627E-007   0.000000000E+000
   0.27167999891442030E-007   0.000000000E+000
   0.27263999891058432E-007   0.000000000E+000
   0.27359999890674835E-007   0.000000000E+000
   0.27455999890291238E-007   0.000000000E+000
   0.27551999889907641E-007   0.000000000E+000
   0.27647999889524044E-007   0.000000000E+000
   0.27743999889140447E-007   0.000000000E+000
   0.27839999888756850E-007   0.000000000E+000
   0.27935999888373253E-007   0.000000000E+000
   0.28031999887989656E-007   0.000000000E+000
   0.28127999887606059E-007   0.000000000E+000
   0.28223999887222462E-007   0.000000000E+000
   0.28319999886838865E-007   0.000000000E+000
   0.28415999886455268E-007   0.000000000E+000
   0.28511999886071671E-007   0.000000000E+000
   0.28607999885688074E-007   0.000000000E+000
   0.28703999885304476E-007   0.000000000E+000
   0.28799999884920879E-007   0.000000000E+000
   0.28895999884537282E-007   0.000000000E+000
   0.28991999884153685E-007   0.000000000E+000
   0.29087999883770088E-007   0.000000000E+000
   0.29183999883386491E-007   0.000000000E+000
   0.29279999883002894E-007   0.000000000E+000
   0.29375999882619297E-007   0.000000000E+000
   0.29471999882235700E-007   0.000000000E+000
   0.29567999881852103E-007   0.000000000E+000
   0.29663999881468506E-007   0.000000000E+000
   0.29759999881084909E-007   0.000000000E+000
   0.29855999880701312E-007   0.000000000E+000
   0.29951999880317715E-007   0.000000000E+000
   0.30047999879934117E-007   0.000000000E+000
   0.30143999879550520E-007   0.000000000E+000
   0.30239999879166923E-007   0.000000000E+000
   0.30335999878783326E-007   0.000000000E+000
   0.30431999878399729E-007   0.000000000E+000
   0.30527999878016132E-007   0.000000000E+000
   0.30623999877632535E-007   0.000000000E+000
   0.30719999877248938E-007   0.000000000E+000
   0.30815999876865341E-007   0.000000000E+000
   0.30911999876481744E-007   0.000000000E+000
   0.31007999876098147E-007   0.000000000E+000
   0.31103999875714550E-007   0.000000000E+000
   0.31199999875330953E-007   0.000000000E+000
   0.31295999874947356E-007   0.000000000E+000
   0.31391999874563759E-007   0.000000000E+000
   0.31487999874180161E-007   0.000000000E+000
   0.31583999873796564E-007   0.000000000E+000
   0.31679999873412967E-007   0.000000000E+000
   0.31775999873029370E-007   0.000000000E+000
   0.31871999872645773E-007   0.000000000E+000
   0.31967999872262176E-007   0.000000000E+000
   0.32063999871878579E-007   0.000000000E+000
   0.32159999871494982E-007   0.000000000E+000
   0.32255999871111385E-007   0.000000000E+000
   0.32351999870727788E-007   0.000000000E+000
   0.32447999870344191E-007   0.000000000E+000
   0.32543999869960594E-007   0.000000000E+000
   0.32639999869576997E-007   0.000000000E+000
   0.32735999869193400E-007   0.000000000E+000
   0.32831999868809802E-007   0.000000000E+000
   0.32927999868426205E-007   0.000000000E+000
   0.33023999868042608E-007   0.000000000E+000
   0.33119999867659011E-007   0.000000000E+000
   0.33215999867275414E-007   0.000000000E+000
   0.33311999866891817E-007   0.000000000E+000
   0.33407999866508220E-007   0.000000000E+000
   0.33503999866124623E-007   0.000000000E+000
   0.33599999865741026E-007   0.000000000E+000
   0.33695999865357429E-007   0.000000000E+000
   0.33791999864973832E-007   0.000000000E+000
   0.33887999864590235E-007   0.000000000E+000
   0.33983999864206638E-007   0.000000000E+000
   0.34079999863823041E-007   0.000000000E+000
   0.34175999863439444E-007   0.000000000E+000
   0.34271999863055846E-007   0.000000000E+000
   0.34367999862672249E-007   0.000000000E+000
   0.34463999862288652E-007   0.000000000E+000
   0.34559999861905055E-007   0.000000000E+000
   0.34655999861521458E-007   0.000000000E+000
   0.34751999861137861E-007   0.000000000E+000
   0.34847999860754264E-007   0.000000000E+000
   0.34943999860370667E-007   0.000000000E+000
   0.35039999859987070E-007   0.000000000E+000
   0.35135999859603473E-007   0.000000000E+000
   0.35231999859219876E-007   0.000000000E+000
   0.35327999858836279E-007   0.000000000E+000
   0.35423999858452682E-007   0.000000000E+000
   0.35519999858069085E-007   0.000000000E+000
   0.35615999857685487E-007   0.000000000E+000
   0.35711999857301890E-007   0.000000000E+000
   0.35807999856918293E-007   0.000000000E+000
   0.35903999856534696E-007   0.000000000E+000
   0.35999999856151099E-007   0.000000000E+000
   0.36095999855767502E-007   0.000000000E+000
   0.36191999855383905E-007   0.000000000E+000
   0.36287999855000308E-007   0.000000000E+000
   0.36383999854616711E-007   0.000000000E+000
   0.36479999854233114E-007   0.000000000E+000
   0.36575999853849517E-007   0.000000000E+000
   0.36671999853465920E-007   0.000000000E+000
   0.36767999853082323E-007   0.000000000E+000
   0.36863999852698726E-007   0.000000000E+000
   0.36959999852315129E-007   0.000000000E+000
   0.37055999851931531E-007   0.000000000E+000
   0.37151999851547934E-007   0.000000000E+000
   0.37247999851164337E-007   0.000000000E+000
   0.37343999850780740E-007   0.000000000E+000
   0.37439999850397143E-007   0.000000000E+000
   0.37535999850013546E-007   0.000000000E+000
   0.37631999849629949E-007   0.000000000E+000
   0.37727999849246352E-007   0.000000000E+000
   0.37823999848862755E-007   0.000000000E+000
   0.37919999848479158E-007   0.000000000E+000
   0.38015999848095561E-007   0.000000000E+000
   0.38111999847711964E-007   0.000000000E+000
   0.38207999847328367E-007   0.000000000E+000
   0.38303999846944770E-007   0.000000000E+000
   0.38399999846561172E-007   0.000000000E+000
   0.38495999846177575E-007   0.000000000E+000
   0.38591999845793978E-007   0.000000000E+000
   0.38687999845410381E-007   0.000000000E+000
   0.38783999845026784E-007   0.000000000E+000
   0.38879999844643187E-007   0.000000000E+000
   0.38975999844259590E-007   0.000000000E+000
   0.39071999843875993E-007   0.000000000E+000
   0.39167999843492396E-007   0.000000000E+000
   0.39263999843108799E-007   0.000000000E+000
   0.39359999842725202E-007   0.000000000E+000
   0.39455999842341605E-007   0.000000000E+000
   0.39551999841958008E-007   0.000000000E+000
   0.39647999841574411E-007   0.000000000E+000
   0.39743999841190814E-007   0.000000000E+000
   0.39839999840807216E-007   0.000000000E+000
   0.39935999840423619E-007   0.000000000E+000
